﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;;She didn't deserve this;She didn't deserve this;Ella no merecía nada de eso.
;;;There was nothing I could do;There was nothing I could do;No había nada que yo pudiera hacer
;;;"Even if I didn't see it back then, I know she
suffered so much...";"Even if I didn't see it back then, I know she
suffered so much ...";"Ella ha sufrido tanto..."
;;;"I wasn't close to her, but no one deserves to
live like this.";"I wasn't close to her, but no one deserves to
live like this.";"Es cierto que no me sentía muy apegado a ella,
pero nadie merece esa clase de vida."
;;;I wish she could have a better life.;I wish she could have a better life.;"Desearía que hubiese tenido una vida
mejor."
;;;"There's not much I could have done, but it hurt
to watch it happen.";"There's not much I could have done, but it hurt
to watch it happen.";"Me quiebra verla así."
;;;"I feel sorry for her, but there wasn't much I could
have done.";"I feel sorry for her, but there wasn't much I could
have done.";"Lamento mucho lo que le pasó, pero no había forma
de ayudarla."
;;;I was just a kid, living in a bad environment.;I was just a kid, living in a bad environment.;"Era tan solo un muchacho viviendo en
un ambiente hostil."
;;;"I couldn't have saved her, and now I'm left with
the fear of that man's voice.";"I couldn't have saved her, and now I'm left with
the fear of that man's voice.";"Aún siento miedo al recordar esa voz
furiosa de mi padre."
;;Mom;PLEASE ...\. STOP ...;PLEASE ...\. STOP ...;POR FAVOR...\. PARA...
;;;I don't want to die.;I don't want to die.;No quiero morir.
;;;I'll never be ready.;I'll never be ready.;Y nunca estaré listo para morir.
;;;"I just can't imagine the end of my life being
pure darkness.";"I just can't imagine the end of my life being
pure darkness.";"Ni siquiera consigo imaginar como sería que
de un momento a otro, todo se vuelva oscuridad."
;;;I don't want to lose my memories.;I don't want to lose my memories.;No quisiera perder todos estos recuerdos.
;;;I don't want to lose myself.;I don't want to lose myself.;No quisiera perderme en esa oscuridad.
;;;Sometimes, it can be a bit too much.;Sometimes, it can be a bit too much.;A veces, siento que ya no aguanto más.
;;;"I feel myself wanting to end this life.\!
But I can't.";"I feel myself wanting to end this life.\!
But I can't.";"Y solo quisiera acabar con todo,\!
pero no puedo."
;;;"There's something in me that keeps saying to push
forward. \!Keep going.";"There's something in me that keeps saying to push
forward. \!Keep going.";"Hay una vocecilla muy dentro de mí que me insta
a seguir,\! a no rendirme."
;;;I just sometimes want to disappear.;I just sometimes want to disappear.;A veces quisiera desaparecer...
;;;"Just a little room for myself.\.
Floating in the void.";"Just a little room for myself.\.
Floating in the void.";"Cualquier habitación estaría bien...\.
¿Cómo se sentirá colgar en el vacío?"
;;;She's reading a book.;She's reading a book.;Ella está leyendo un libro.
;;;"I believe it was her way of escaping the life she
was living.";"I believe it was her way of escaping the life she
was living.";"Pienso que era su forma de escapar de su realidad."
;;;There were also some better times.;There were also some better times.;Aunque no todo era malo.
;;;"My mom had trouble sleeping, so she would read
on her bed a lot.";"My mom had trouble sleeping, so she would read
on her bed a lot.";"Algunas veces mamá tenía problemas para dormir
y solía leerme libros."
;;;"I'd enter the room when I had nightmares, and sit
next to her as we talked for a moment.";"I'd enter the room when I had nightmares, and sit
next to her as we talked for a moment.";"Otras veces, yo iba a su cuarto cuando tenía
pesadillas y hablabamos un rato."
;;;I felt comforted;I felt comforted;Eso me tranquilizaba
;;;I can't feel loved;I can't feel loved;No me sentía mejor
;;;"Even though I didn't feel attached to my mother, 
it did help me calm down.";"Even though I didn't feel attached to my mother, 
it did help me calm down.";"Eso realmente me tranquilizaba, aunque nunca
me sentí muy apegado a mamá."
;;;"I guess that's what mothers are for,\. doing their
best to help their child.";"I guess that's what mothers are for,\. doing their
best to help their child.";"Al menos, sé que se esforzaba\. por querer y
cuidar de su hijo."
;;;"...\| I should appreciate these moments more.\!
I don't have many of them.";"...\| I should appreciate these moments more.\!
I don't have many of them.";"...\| Debería apreciar más estos recuerdos.\!
Son algo escasos."
;;;"I shouldn’t view my mother in a negative way.\.
She tried her best,\. and I should be grateful.";"I shouldn’t view my mother in a negative way.\.
She tried her best,\. and I should be grateful.";"Debería cambiar la opinión negativa que tengo de
ella,\. y ser más agradecido \.por todo lo que hizo."
;;;...\. I felt so disconnected.;...\. I felt so disconnected.;...\. Me sentía fuera de lugar.
;;;"She was just a body, never able to live the life 
she had hoped for.";"She was just a body, never able to live the life 
she had hoped for.";"Ella cargaba la culpa de nunca poder haber
vivido la vida que quería."
;;;"...\| I know she was trying to show her love, trying
to be there for me ...";"...\| I know she was trying to show her love, trying
to be there for me ...";"...\| Sé que tenía buenas intenciones y trataba de
demostrar que me amaba..."
;;;"But I couldn't feel it.\!
It didn't mean anything to me.";"But I couldn't feel it.\!
It didn't mean anything to me.";"Pero yo nunca llegue a verlo de esa forma.\!
Esos gestos nunca significaron nada para mí."
;;;I couldn't sleep.;I couldn't sleep.;No podía dormir.
;;;I was scared of the night.;I was scared of the night.;Le temía a la oscuridad.
;;;A big cardboard box.;A big cardboard box.;Una caja grande de cartón.
;;;My mom's MP3 player.;My mom's MP3 player.;El reproductor MP3 de mamá.
;;;I started using it when she got rid of it.;I started using it when she got rid of it.;Empecé a usarlo al ver que ella ya no lo quería.
;;;"She had a couple of songs on it, though I think
I deleted them later.";"She had a couple of songs on it, though I think
I deleted them later.";"Había unas cuantas canciones, pero las terminé
borrando poco después."
;;;Pick it up?;Pick it up?;¿Agarrar?
;;;"I think they were from my dad, my mom didn't
drink.";"I think they were from my dad, my mom didn't
drink.";Creo que son de papá, ya que mamá no bebía.
;;;Or maybe she did. ;Or maybe she did. ;¿O quizás sí?
;;;It's mom's computer.;It's mom's computer.;La computadora de mamá.
;;;She didn't use it much, only for sending emails.;She didn't use it much, only for sending emails.;"Ella solo la usaba para enviar correos
electrónicos y ese tipo de cosas."
;;Haven;It’s time to finally face this, isn’t it?;It’s time to finally face this, isn’t it?;Ya es hora de enfrentarlo, ¿no crees?
;;Haven;For years, you’ve been stuck with me in your mind.;For years, you’ve been stuck with me in your mind.;"Te has aferrado a mi recuerdo durante muchos
años."
;;Haven;I just want to see you happy ...;I just want to see you happy ...;Solo quiero verte feliz...
;;Haven;"...\| If climbing this mountain can help you
achieve that,\. then you should at least try.";"...\| If climbing this mountain can help you
achieve that,\. then you should at least try.";"...\| Si escalar esta montaña te ayuda a
lograrlo,\. entonces va a valer la pena intentarlo."
;;Haven;I’ll be here for you.;I’ll be here for you.;Aquí estaré para ti.
;;Haven;Do you wanna \c[1]save\c[0] yourself?;Do you wanna \c[1]save\c[0] yourself?;¿Quieres \c[1]guardar\c[0] este recuerdo?
;;Haven;"You’ve kept me in your head for so long.\!
There's no denying it.";"You’ve kept me in your head for so long.\!
There's no denying it.";"Has estado encaprichado conmigo todo este tiempo.\!
No puedes negarlo."
;;Haven;It's like you want to hurt yourself.;It's like you want to hurt yourself.;Como si quisieras hacerte daño.
;;Haven;Do you even know why you’re here?;Do you even know why you’re here?;¿Acaso sabes por qué estás aquí?
;;;I don't know;I don't know;No lo sé
;;;Why are you here?;Why are you here?;¿Por qué estás aquí?
;;Haven;"You want to feel it all again.\!
All the moments that hurt ...";"You want to feel it all again.\!
All the moments that hurt ...";
;;Haven;... Until you finally break.;... Until you finally break.;
;;;You made me.;You made me.;
;;Haven;I didn't have a choice.;I didn't have a choice.;
;;Haven;"This mountain ...\!
It remembers what happened.";"This mountain ...\!
It remembers what happened.";
;;Haven;It collected all of our moments.;It collected all of our moments.;
;;Haven;I want to help you. I do.;I want to help you. I do.;
;;Haven;But I don't think you want me to.;But I don't think you want me to.;
;;;Then don't;Then don't;
;;;I need you here;I need you here;
;;Haven;... You're making this so hard for me.;... You're making this so hard for me.;
;;Haven;It hurts to see you like this.;It hurts to see you like this.;
;;Haven;"You don't.\!
Not me.";"You don't.\!
Not me.";
;;Haven;"I'm not Haven.\!
You've twisted your vision of her so much.";"I'm not Haven.\!
You've twisted your vision of her so much.";
;;Haven;The Haven you made up in your head isn't like her.;The Haven you made up in your head isn't like her.;
;;Haven;I won’t stop you.;I won’t stop you.;
;;Haven;But I have to ask.;But I have to ask.;
;;Haven;Can you \c[1]save\c[0] yourself?;Can you \c[1]save\c[0] yourself?;
;;Haven;I hope you feel safe again.;I hope you feel safe again.;
;;Haven;That's fine, let me know if you change your mind.;That's fine, let me know if you change your mind.;
;;;"She has grown so much since then,\. while I’m still
the same.";"She has grown so much since then,\. while I’m still
the same.";"Ella ha crecido tanto desde entonces,\.
pero yo sigo siendo el mismo."
;;;I haven't changed.;I haven't changed.;No he cambiado.
;;John;Are you ready for your last challenge?;Are you ready for your last challenge?;¿Estás listo para tu último desafio?
;;John;"For your third challenge, you must sacrifice
yourself.";"For your third challenge, you must sacrifice
yourself.";"Para tu tercer desafio, es necesario que te
sacrifiques a ti mismo."
;;;Sacrifice;Sacrifice;Sacrificarte
;;John;You've proven yourself.;You've proven yourself.;Has demostrado tu valor.
;;John;You have become ...;You have become ...;Te has convertido...
;;Haven;It’s time to take off that mask of yours.;It’s time to take off that mask of yours.;Es hora de quitarte esa máscara que llevas.
;;Haven;You don’t need a white sheet to see the past.;You don’t need a white sheet to see the past.;No necesitas una manta blanca para ver el pasado.
;;Haven;Look at it with your own eyes, don’t be scared.;Look at it with your own eyes, don’t be scared.;"Míralo con tus proprios ojos, no tengas
miedo."
;;Haven;"I don’t want you to interact with these moments.\.
Just take a look at them ...";"I don’t want you to interact with these moments.\.
Just take a look at them ...";"No quiero que interactues con estos recuerdos.\.
Solo... observalos..."
;;Haven;...\. And let them float.;...\. And let them float.;...\. Déjalos ser.
;;Haven;Go ahead, take a look.;Go ahead, take a look.;Adelante.
;;Haven;"I thought I recognized that song from your cheap
earbuds.";"I thought I recognized that song from your cheap
earbuds.";"Creí reconocer esa canción que estabas
esuchando en esos audífonos baratos."
;;Haven;I loved listening to their music back then.;I loved listening to their music back then.;Me encantaba escuchar su música en ese tiempo.
;;;You don't remember.;You don't remember.;No te acuerdas.
;;;"It looks like you can pull off the shadow.\!
Take it off?";"It looks like you can pull off the shadow.\!
Take it off?";"Parece que puedes remover la sombra.\!
¿Removerla?"
;;;Do you want to remember?;Do you want to remember?;¿Quieres recordar?
;;;"You try your best to remember the memory you
tried to forget.";"You try your best to remember the memory you
tried to forget.";"Te esfuerzas por recuperar aquel recuerdo
que trataste de borrar."
;;;It was a sunny evening.;It was a sunny evening.;Era una tarde soleada.
;;;"I was just listening to some music on my mom's 
MP3 player.";"I was just listening to some music on my mom's 
MP3 player.";"Estaba escuchando algunas canciones en el
reproductor MP3 de mamá"
;;;"I had discovered a new band, and I was exploring
their discography.";"I had discovered a new band, and I was exploring
their discography.";"Había descubierto una nueva banda, y estaba
explorando su discografía."
;;;"Then, I suddenly saw someone's shoes in front
of me.";"Then, I suddenly saw someone's shoes in front
of me.";"En eso, vi un par de zapatos detenerse frente
a mí."
;;Haven;What are you listening to?;What are you listening to?;¿Qué escuchas?
;;;I had never seen this girl before.;I had never seen this girl before.;Nunca la había visto antes.
;;;"She looked like she was about my age, and she
smelled nostalgic.";"She looked like she was about my age, and she
smelled nostalgic.";"Parecía tener mi edad y tenía un aroma
nostálgico."
;;Haven;"Oh! I love that band!\!
I actually saw them live a couple of weeks ago!";"Oh! I love that band!\!
I actually saw them live a couple of weeks ago!";"Oh, ¿a ti también te gusta esa banda?\!
¡Los vi tocar en vivo hace algunas semanas!"
;;Haven;"Hey, I wanted to ask if you'd be up to chat
via email?";"Hey, I wanted to ask if you'd be up to chat
via email?";"Oye, ¿te gustaría seguir hablando por 
correo electronico?"
;;Haven;I'll give you my address!;I'll give you my address!;Te doy el mío.
;;;This girl wants to message me?;This girl wants to message me?;¿Ella... quiere que conversemos por correo?
;;;It's a bench.;It's a bench.;Es un banco de madera.
;;Haven;"I think I might have caught some feelings when I
saw you on the bench ...";"I think I might have caught some feelings when I
saw you on the bench ...";"Creo que empecé a sentir algo por ti al verte
sentado solo en aquel banco."
;;Haven;I was pretty nervous when I approached you.;I was pretty nervous when I approached you.;Estaba muy nerviosa al acercarme.
;;Haven;Go on ...\! Try to remember ...;Go on ...\! Try to remember ...;Vamos...\! Intenta recordar...
;;Haven;You're almost there...;You're almost there...;Ya casi lo logras...
;;Haven;Try your best to remember.;Try your best to remember.;Esfuerzate por recordar.
;;Haven;"I’m really glad you decided to agree, I was
so nervous when I was writing that email! ";"I’m really glad you decided to agree, I was
so nervous when I was writing that email! ";"Ay, qué bueno que aceptaste. Para ser sincera,
estaba bastante nerviosa al enviar el correo."
;;Haven;I didn’t want to mess up or seem uncool ...;I didn’t want to mess up or seem uncool ...;No quería sonar como una rarita...
;;;The shadow layer is a bit harder to get off.;The shadow layer is a bit harder to get off.;La sombra es algo difícil de remover.
;;;Look at the screen?;Look at the screen?;¿Mirar a la pantalla?
;;;"The following day, I checked the computer to see
if I had gotten an email from her.";"The following day, I checked the computer to see
if I had gotten an email from her.";"Al día siguiente, revisé mi bandeja de entrada
para ver si había recibido algun correo."
;;;And sure enough, she sent one.;And sure enough, she sent one.;Y sí había uno, era el de ella.
;;;"I opened it nervously and read what she had
to say.";"I opened it nervously and read what she had
to say.";"Un poco nervioso, hice click en el correo
para leerlo."
;;Haven;"""Hey!""";"""Hey!""";"""Hola, ¿como andas?"""
;;Haven;"""I still haven’t gotten your name, so I don’t really
know what to call you... haha...""";"""I still haven’t gotten your name, so I don’t really
know what to call you ... haha ...""";"""Que pena, aún no conosco tu nombre, entonces no
sé muy bien como llamarte... jsjs"""
;;Haven;"""Anyway, it was really nice talking to you!
I didn't think anyone listened to that band!""";"""Anyway, it was really nice talking to you!
I didn't think anyone listened to that band!""";"""Me gustó mucho hablar contigo en el parque.
Creí que era la única que escuchaba a esa banda."""
;;Haven;"""I thought I heard it coming from your earbuds,
so that’s why I asked.""";"""I thought I heard it coming from your earbuds,
so that’s why I asked.""";"""Yo estaba caminando tranquila cuando creí oír
una canción conocida y me acerqué a preguntar."""
;;Haven;"""Hope you didn’t find me creepy or anything :)""";"""Hope you didn’t find me creepy or anything :)""";"""Espero no haberte incomodado mucho :')"""
;;Haven;"""I actually had something to ask you...\!
Would you maybe wanna hang out sometime??""";"""I actually had something to ask you ...\!
Would you maybe wanna hang out sometime??""";"""Sabes, quería preguntarte una cosa...\!
¿Te gustaría que nos volvamos a ver, quizá?"""
;;Haven;"""Maybe talk about our favorite music, or get
something to eat...""";"""Maybe talk about our favorite music, or get
something to eat ...""";"""Para hablar de música o pasear por ahí y
comer algo..."""
;;Haven;"""Let me know!\.
Haven”";"""Let me know!\.
Haven”";"""Bueno, ahí me escribes\.
Haven."""
;;;It's your parents' old computer.;It's your parents' old computer.;Es la vieja computadora de tus padres.
;;Haven;"I remember being pretty nervous while I was
waiting for you.";"I remember being pretty nervous while I was
waiting for you.";"Recuerdo como me temblaban las piernas de
lo nerviosa que estaba mientras te esperaba."
;;Haven;"What if you didn't show up? What if you forgot
about it?";"What if you didn't show up? What if you forgot
about it?";"¿Y si no llegabas? ¿Y si lo olvidabas?"
;;Haven;I was glad you enjoyed the snacks I brought.;I was glad you enjoyed the snacks I brought.;"Estaban riquísimos, ¿verdad?
Di la verdad, *jeje*."
;;Haven;"It was fun getting to know you a bit better, even
though there were some awkward moments!";"It was fun getting to know you a bit better, even
though there were some awkward moments!";"Fue bonito llegar a conocerte mejor, aún con esos
silencios incómodos."
;;Haven;"I personally didn’t find them awkward.\!
I was enjoying the moment.";"I personally didn’t find them awkward.\!
I was enjoying the moment.";"La verdad, casi ni me percaté de ellos.\!
Estaba más ocupada disfrutando de tu compañia."
;;;"You try your best to remember, but something is
missing ...";"You try your best to remember, but something is
missing ...";"Intentas recordar como puedes, pero algo está
faltando..."
;;;There she was, under the big tree.;There she was, under the big tree.;Ahí estaba ella, sentada al lado de un árbol.
;;;"She was looking through her bag, trying to find
something.";"She was looking through her bag, trying to find
something.";"Estaba buscando algo en su bolsa."
;;Haven;Hey! Took you long enough!;Hey! Took you long enough!;¡Hey, por fin te apareces! *jeje*
;;Haven;This is a good spot,\. right?;This is a good spot,\. right?;Es un excelente sitio,\. ¿no crees?
;;Haven;Did you see the picture I sent on the phone?;Did you see the picture I sent on the phone?;¿Lograste ver la imagen que te mande por celular?
;;;"She had sent a picture under the tree where we
had arranged to meet.";"She had sent a picture under the tree where we
had arranged to meet.";"Ella me había enviado la foto del sitio donde
nos encontraríamos."
;;;She brought some snacks for us to enjoy.;She brought some snacks for us to enjoy.;Había traído algunos bocadillos en su bolsa.
;;;"We talked about ourselves, the music we were
listening to, and had some small talk.";"We talked about ourselves, the music we were
listening to, and had some small talk.";"Hablamos largo y tendido sobre nosotros y
la música que nos gustaba escuchar."
;;;It was nice.;It was nice.;Fue bonito.
;;Haven;"Hey, I was thinking we could maybe do this again
sometime ...";"Hey, I was thinking we could maybe do this again
sometime ...";"Oye, tengo una idea. ¿Por qué no volvemos a
hacer esto algún otro día?"
;;Haven;I really enjoyed this.;I really enjoyed this.;Hoy fue increible.
;;;A second date?;A second date?;¿Una segunda cita?
;;;"Could you even call this a date? I'm not sure if
she's into me.";"Could you even call this a date? I'm not sure if
she's into me.";"No, no es eso. Ella solo quiere un amigo con
quien hablar de música."
;;;It's just two juice boxes.;It's just two juice boxes.;Son solo dos cajitas de jugo.
;;;There's a heart sketched into the tree.;There's a heart sketched into the tree.;Hay un corazón grabado en el árbol.
;;;You're reminded of the taste of apple juice.;You're reminded of the taste of apple juice.;Te hace recordar el sabor de un jugo de manzana.
;;;You try to remember a melody.;You try to remember a melody.;Intentas recordar una melodía.
;;;We started dating after a month.;We started dating after a month.;Comenzamos a salir después de un mes.
;;;On one of our dates, we got really close.;On one of our dates, we got really close.;"Con cada cita que pasaba, nos ibamos apegandonos
más y más."
;;;"She got really nervous, and said 'I think I 
love you.'";"She got really nervous, and said 'I think I 
love you.'";"Hasta que en una de ellas, se me acercó y me dijo
con voz nerviosa: 'Creo que estoy enamorada de ti.'"
;;;"I felt an unexplainable joy in my body that
whole day. ";"I felt an unexplainable joy in my body that
whole day. ";"Sentí... una enorme felicidad aquel día, una
que me cuesta describir con palabras."
;;;"It was special, unlike anything I had ever felt
before.";"It was special, unlike anything I had ever felt
before.";"Nunca había sentido nada siquiera parecido
con eso."
;;;"Sometimes, we would hang out at random spots
and listen to music together.";"Sometimes, we would hang out at random spots
and listen to music together.";"A veces, nos la pasábamos escuchando música aquí
y allá, ella con un audífono y yo con el otro."
;;;I'd share an earbud, and we would enjoy the view.;I'd share an earbud, and we would enjoy the view.;"Solos, imperturbables, ajenos a nuestra realidad...
contemplando el ocaso del día."
;;;"She had introduced me to this one artist, and I
started listening to their music all the time.";"She had introduced me to this one artist, and I
started listening to their music all the time.";"Ella me mostró uno de sus artistas favoritos, y yo,
como era obvio, comenze a escucharlo todo los días."
;;;"Every time I listened to them, I thought
about Haven.";"Every time I listened to them, I thought
about Haven.";Cada vez que lo escuchaba, pensaba en ella.
;;;How beautiful she was, how caring she could be ...;How beautiful she was, how caring she could be ...;"Pensaba en lo hermosa que era, así como
en lo amable y cariñosa que era conmigo."
;;;"She was my everything.\!
I couldn't stop thinking about her.";"She was my everything.\!
I couldn't stop thinking about her.";"Ella era mi mundo.\!
Significaba todo para mí."
;;;I was so happy.;I was so happy.;Me sentía tan feliz.
;;Haven;Hey, do you wanna try something?;Hey, do you wanna try something?;Oye, ¿quieres pobar algo?
;;;What do you mean?;What do you mean?;¿Como qué?
;;Haven;Hold on ...;Hold on ...;Dame un momentito...
;;;What's that?;What's that?;¿Qué es eso?
;;Haven;"It's a grinder.\!
It's used to grind up weed.";"It's a grinder.\!
It's used to grind up weed.";"Es un grinder. Algunos también lo llaman 'moledor'.\!
Se usa para triturar 'hierba'. Me entiendes, ¿no?"
;;Haven;"I understand if it's not your thing, but if you
wanna try it out...";"I understand if it's not your thing, but if you
wanna try it out ...";"Pero no te voy a obligarte ni nada
parecido..."
;;Haven;It's your choice!;It's your choice!;Es tu decición.
;;;"I knew Haven had been smoking for a little while,
but I had never seen her high.";"I knew Haven had been smoking for a little while,
but I had never seen her high.";"Hacía un tiempo que sabía que Haven fumaba,
pero nunca la había visto bajo los efectos."
;;;"It felt a bit strange when she first mentioned it,
I couldn't imagine her being that kind of person.";"It felt a bit strange when she first mentioned it,
I couldn't imagine her being that kind of person.";"Me sentí algo raro cuando mencionó el tema, nunca
imaginé que fuera de aquellos."
;;;I decided to try it out for the first time.;I decided to try it out for the first time.;"Aún así, decidi darle una oportunidad."
;;;It felt special.;It felt special.;Se sentía... especial, único.
;;;"All the worries I had weren't important anymore,
and I appreciated this moment we shared.";"All the worries I had weren't important anymore,
and I appreciated this moment we shared.";"Todas mis preocupaciones comenzaron a desvanecerse
en una espiral de placer."
;;;"I could feel everything at once,\. and nothing
at the same time.";"I could feel everything at once,\. and nothing
at the same time.";"Podía sentirlo todo\. y a la vez, nada."
;;;"I was so thankful to have Haven in my life now.\!
She had become a part of me.";"I was so thankful to have Haven in my life now.\!
She had become a part of me.";"Estaba tan agradecido de compartir ese momento
juntos, y más aún, de tenerla en mi vida."
;;Haven;I do miss these moments with you.;I do miss these moments with you.;Extraño mucho esos buenos momentos que pasamos.
;;Haven;They felt magical, didn’t they? ;They felt magical, didn’t they? ;Eran, en cierta forma, mágicos.
;;Haven;We were both so happy with each other ...;We were both so happy with each other ...;Éramos tan felices.
;;;It's a black jacket.;It's a black jacket.;Es una chaqueta negra.
;;Haven;"I was truly happy for a while.
You brought out something in me.";"I was truly happy for a while.
You brought out something in me.";"Por un tiempo, llegue a sentirme muy feliz contigo.
Descubrí una faceta que no conocía de mí."
;;Haven;"That childlike quality, that curiosity...\.
I don't really know what it was, but it felt new.";"That childlike quality, that curiosity ...\.
I don't really know what it was, but it felt new.";"Esa inocencia, esa... curiosidad...\.
No sé muy bien lo que era, pero se sentía diiferente."
;;Haven;"I had already told all my friends about you, and
how much I enjoyed spending my time with you!";"I had already told all my friends about you, and
how much I enjoyed spending my time with you!";"Les he contado a todos mis amigos sobre ti y lo
mucho que adoro pasar tiempo contigo."
;;Haven;I couldn’t wait for you to meet them!;I couldn’t wait for you to meet them!;¡Estoy deseosa de que los conoscas!
;;;Hang the jacket on the coat hanger?;Hang the jacket on the coat hanger?;¿Colgar la chaqueta?
;;;Hanging the jacket brings back a familiar feeling.;Hanging the jacket brings back a familiar feeling.;Esa acción te resulta familiar.
;;;"Haven invited me to join her at a party.\! She said
it's a nice opportunity to meet her friends.";"Haven invited me to join her at a party.\! She said
it's a nice opportunity to meet her friends.";"Haven me había invitado a su fiesta.\! Dijo que
era una oportunidad única de conocer a sus amigos."
;;;"I picked out a nice black suit, hoping it wasn’t
too fancy for the party.";"I picked out a nice black suit, hoping it wasn’t
too fancy for the party.";"Me puse una traje negro — esperaba que no
pareciera demasiado formal."
;;;"I'm not known for being the most outgoing person.\!
I've never been to a party before.";"I'm not known for being the most outgoing person.\!
I've never been to a party before.";"Estoy lejos de ser una persona extrovertida.\!
Y nunca he estado en una fiesta."
;;;It'll be fine, right?;It'll be fine, right?;Todo estará bien, ¿verdad?
;;;I'll try my best.;I'll try my best.;Voy a intentarlo.
;;;It won't be that bad, right?;It won't be that bad, right?;No puede ser tan malo.
;;;"Besides, we had a couple of dates now, and
they’ve all been great.";"Besides, we had a couple of dates now, and
they’ve all been great.";"Además, estoy seguro que son buenas
personas."
;;;I'm sure it'll be fine.;I'm sure it'll be fine.;Todo va a salir bien.
;;;It's a coat hanger with a jacket on it.;It's a coat hanger with a jacket on it.;Es una chaqueta colgada en un gancho.
;;;It's a stool with a drink on it.;It's a stool with a drink on it.;Es un banquito con una bebida encima.
;;;Sit on the stool?;Sit on the stool?;¿Sentarse?
;;;You try to remember something ...;You try to remember something ...;Tratas de recordar...
;;;This didn't feel right.;This didn't feel right.;Esto no va bien.
;;;"The music was so loud, I couldn't hear myself
think.";"The music was so loud, I couldn't hear myself
think.";"La música era demasiado alta, ni siquiera
podía pensar."
;;;"There were so many people I didn't know, it felt
like I was being watched.";"There were so many people I didn't know, it felt
like I was being watched.";"Estaba rodeado de extraños. Sentía como si me
estuvieran vigilando."
;;;And Haven ...;And Haven ...;Y Haven...
;;;"She kept talking with her friends.\!
Her world is so much bigger than mine.";"She kept talking with her friends.\!
Her world is so much bigger than mine.";"Ella paraba hablando con sus amigos.\!
Pertenecemos a dos mundos tan diferentes."
;;;...\. She didn't forget about me, \.right?;...\. She didn't forget about me, \.right?;...\. Ella no se ha olvidado de mí, \.¿verdad?
;;;"It's okay ...\!
She's just talking to her friends ...";"It's okay ...\!
She's just talking to her friends ...";"Vamos, no es para tanto...\!
Solo está conversando con sus amigos..."
;;;"You can't have all her attention ...\!
It's not about you ...";"You can't have all her attention ...\!
It's not about you ...";"Sería raro si solo hablara contigo...\!
Trata de entenderla..."
;;;I should go out for a smoke.;I should go out for a smoke.;Tal vez debería salir un rato a fumar.
;;;Just to help me calm down.;Just to help me calm down.;Eso me hará sentir mejor.
;;;"The air felt cold outside.\!
The cigarette did help me slow down.";"The air felt cold outside.\!
The cigarette did help me slow down.";"Hacía mucho frío afuera,\!
pero eso me ayudó a relajarme un poco."
;;;But just thinking about her ...;But just thinking about her ...;Aunque cada vez que volvía a pensar en ella...
;;;...\. Why does it slightly hurt?;...\. Why does it slightly hurt?;...\. Me sentía un poco dolido.
;;;"I shouldn't be feeling sad.\!
I still love Haven and she loves me.";"I shouldn't be feeling sad.\!
I still love Haven and she loves me.";"¿Por qué te estás sintiendo así?\!
Tú la amas y ella te ama también."
;;;Why do I feel like this?;Why do I feel like this?;¿No te basta con eso?
;;;"Nothing even happened, and yet I feel betrayed
by her.";"Nothing even happened, and yet I feel betrayed
by her.";"Ella no había hecho anda malo, y aún así, me
sentía traicionado."
;;;...\. This isn't safe.;...\. This isn't safe.;...\. No, esto no va bien.
;;;I don't feel comfortable.;I don't feel comfortable.;Me está afectando...
;;;I have to go away.;I have to go away.;Tengo que salir de aquí.
;;;This isn't good.;This isn't good.;No está bien, no está bien...
;;;Why am I thinking like this?;Why am I thinking like this?;¿Por qué tengo estos pensamientos?
;;;Why am I running away?;Why am I running away?;¿Por qué estoy huyendo?
;;;"I need to calm down again.\!
I'll just sit here for a while.";"I need to calm down again.\!
I'll just sit here for a while.";"Primero calmate,\! ahora sientate y trata
de respirar profundamente."
;;;"It's ...\. okay ... \!
It'll be ...\. okay ...";"It's ...\. okay ... \!
It'll be ...\. okay ...";"Respira...\. respira...\!
Todo...\. estará bien..."
;;;I shouldn't be freaking out ...;I shouldn't be freaking out ...;No tienes por qué ponerte así...
;;;Why does this hurt so much ...;Why does this hurt so much ...;Pero es que duele tanto...
;;;"Just ...\. calm ..\.. down ...\!
Please ...";"Just ...\. calm ...\. down ...\!
Please ...";"Tranquilízate...\. por favor...\!
Por favor..."
;;;CALM ...\. DOWN ...;CALM ...\. DOWN ...;¡TE LO ESTOY PIDIENDO...!
;;;STOP IT ...;STOP IT ...;¡POR FAVOR...!
;;;I CAN'T THINK ...;I CAN'T THINK ...;NO PUEDO PENSAR...
;;;I CAN'T\^;I CAN'T\^;NO PUEDO\^
;;;I see someone in front of me.;I see someone in front of me.;Vi a alguien parado frente a mí.
;;;I catch my breath, and slowly look up.;I catch my breath, and slowly look up.;Todavía jadeando, trato de ver de quién se trata.
;;Haven;Are you okay?;Are you okay?;¿Estás bien?
;;;I'm fine.;I'm fine.;Sí, está todo bien.
;;;I just needed some fresh air.;I just needed some fresh air.;Solo... necesitaba un poco de aire fresco.
;;Haven;Are you sure?;Are you sure?;¿Solo eso? ¿Estás seguro?
;;Haven;"I'll be back inside.\!
You should come too.";"I'll be back inside.\!
You should come too.";"Voy a volver adentro.\!
¿Por qué no me acompañas?"
;;;I'll be there in a second.;I'll be there in a second.;Sí, voy en un momento.
;;;She doesn't care about me.;She doesn't care about me.;No le importo.
