﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;;"I wasn't close to her, but no one deserves to
live like this.";"I wasn't close to her, but no one deserves to
live like this.";
;;;I wish she could have a better life.;I wish she could have a better life.;
;;;"There's not much I could have done, but it hurt
to watch it happen.";"There's not much I could have done, but it hurt
to watch it happen.";
;;;"I feel sorry for her, but there wasn't much I could
have done.";"I feel sorry for her, but there wasn't much I could
have done.";
;;;I was just a kid, living in a bad environment.;I was just a kid, living in a bad environment.;
;;;"I couldn't have saved her, and now I'm left with
the fear of that man's voice.";"I couldn't have saved her, and now I'm left with
the fear of that man's voice.";
;;Mom;PLEASE ...\. STOP ...;PLEASE ...\. STOP ...;
;;;I don't want to die.;I don't want to die.;
;;;I'll never be ready.;I'll never be ready.;
;;;"I just can't imagine the end of my life being
pure darkness.";"I just can't imagine the end of my life being
pure darkness.";
;;;I don't want to lose my memories.;I don't want to lose my memories.;
;;;I don't want to lose myself.;I don't want to lose myself.;
;;;Sometimes, it can be a bit too much.;Sometimes, it can be a bit too much.;
;;;"I feel myself wanting to end this life.\!
But I can't.";"I feel myself wanting to end this life.\!
But I can't.";
;;;"There's something in me that keeps saying to push
forward. \!Keep going.";"There's something in me that keeps saying to push
forward. \!Keep going.";
;;;I just sometimes want to disappear.;I just sometimes want to disappear.;
;;;"Just a little room for myself.\.
Floating in the void.";"Just a little room for myself.\.
Floating in the void.";
;;;She's reading a book.;She's reading a book.;
;;;"I believe it was her way of escaping the life she
was living.";"I believe it was her way of escaping the life she
was living.";
;;;There were also some better times.;There were also some better times.;
;;;"My mom had trouble sleeping, so she would read
on her bed a lot.";"My mom had trouble sleeping, so she would read
on her bed a lot.";
;;;"I'd enter the room when I had nightmares, and sit
next to her as we talked for a moment.";"I'd enter the room when I had nightmares, and sit
next to her as we talked for a moment.";
;;;I felt comforted;I felt comforted;
;;;I can't feel loved;I can't feel loved;
;;;"Even though I didn't feel attached to my mother, 
it did help me calm down.";"Even though I didn't feel attached to my mother, 
it did help me calm down.";
;;;"I guess that's what mothers are for,\. doing their
best to help their child.";"I guess that's what mothers are for,\. doing their
best to help their child.";
;;;"...\| I should appreciate these moments more.\!
I don't have many of them.";"...\| I should appreciate these moments more.\!
I don't have many of them.";
;;;"I shouldn’t view my mother in a negative way.\.
She tried her best,\. and I should be grateful.";"I shouldn’t view my mother in a negative way.\.
She tried her best,\. and I should be grateful.";
;;;...\. I felt so disconnected.;...\. I felt so disconnected.;
;;;"She was just a body, never able to live the life 
she had hoped for.";"She was just a body, never able to live the life 
she had hoped for.";
;;;"...\| I know she was trying to show her love, trying
to be there for me ...";"...\| I know she was trying to show her love, trying
to be there for me ...";
;;;"But I couldn't feel it.\!
It didn't mean anything to me.";"But I couldn't feel it.\!
It didn't mean anything to me.";
;;;I couldn't sleep.;I couldn't sleep.;
;;;I was scared of the night.;I was scared of the night.;
;;;A big cardboard box.;A big cardboard box.;
;;;My mom's MP3 player.;My mom's MP3 player.;
;;;I started using it when she got rid of it.;I started using it when she got rid of it.;
;;;"She had a couple of songs on it, though I think
I deleted them later.";"She had a couple of songs on it, though I think
I deleted them later.";
;;;Pick it up?;Pick it up?;
;;;"I think they were from my dad, my mom didn't
drink.";"I think they were from my dad, my mom didn't
drink.";
;;;Or maybe she did. ;Or maybe she did. ;
;;;It's mom's computer.;It's mom's computer.;
;;;She didn't use it much, only for sending emails.;She didn't use it much, only for sending emails.;
;;Haven;It’s time to finally face this, isn’t it?;It’s time to finally face this, isn’t it?;
;;Haven;For years, you’ve been stuck with me in your mind.;For years, you’ve been stuck with me in your mind.;
;;Haven;I just want to see you happy ...;I just want to see you happy ...;
;;Haven;"...\| If climbing this mountain can help you
achieve that,\. then you should at least try.";"...\| If climbing this mountain can help you
achieve that,\. then you should at least try.";
;;Haven;I’ll be here for you.;I’ll be here for you.;
;;Haven;Do you wanna \c[1]save\c[0] yourself?;Do you wanna \c[1]save\c[0] yourself?;
;;Haven;"You’ve kept me in your head for so long.\!
There's no denying it.";"You’ve kept me in your head for so long.\!
There's no denying it.";
;;Haven;It's like you want to hurt yourself.;It's like you want to hurt yourself.;
;;Haven;Do you even know why you’re here?;Do you even know why you’re here?;
;;;I don't know;I don't know;
;;;Why are you here?;Why are you here?;
;;Haven;"You want to feel it all again.\!
All the moments that hurt ...";"You want to feel it all again.\!
All the moments that hurt ...";
;;Haven;... Until you finally break.;... Until you finally break.;
;;;You made me.;You made me.;
;;Haven;I didn't have a choice.;I didn't have a choice.;
;;Haven;"This mountain ...\!
It remembers what happened.";"This mountain ...\!
It remembers what happened.";
;;Haven;It collected all of our moments.;It collected all of our moments.;
;;Haven;I want to help you. I do.;I want to help you. I do.;
;;Haven;But I don't think you want me to.;But I don't think you want me to.;
;;;Then don't;Then don't;
;;;I need you here;I need you here;
;;Haven;... You're making this so hard for me.;... You're making this so hard for me.;
;;Haven;It hurts to see you like this.;It hurts to see you like this.;
;;Haven;"You don't.\!
Not me.";"You don't.\!
Not me.";
;;Haven;"I'm not Haven.\!
You've twisted your vision of her so much.";"I'm not Haven.\!
You've twisted your vision of her so much.";
;;Haven;The Haven you made up in your head isn't like her.;The Haven you made up in your head isn't like her.;
;;Haven;I won’t stop you.;I won’t stop you.;
;;Haven;But I have to ask.;But I have to ask.;
;;Haven;Can you \c[1]save\c[0] yourself?;Can you \c[1]save\c[0] yourself?;
;;Haven;I hope you feel safe again.;I hope you feel safe again.;
;;Haven;That's fine, let me know if you change your mind.;That's fine, let me know if you change your mind.;
;;;"She has grown so much since then,\. while I’m still
the same.";"She has grown so much since then,\. while I’m still
the same.";
;;;I haven't changed.;I haven't changed.;
;;John;Are you ready for your last challenge?;Are you ready for your last challenge?;
;;John;"For your third challenge, you must sacrifice
yourself.";"For your third challenge, you must sacrifice
yourself.";
;;;Sacrifice;Sacrifice;
;;John;You've proven yourself.;You've proven yourself.;
;;John;You have become ...;You have become ...;
;;Haven;It’s time to take off that mask of yours.;It’s time to take off that mask of yours.;
;;Haven;You don’t need a white sheet to see the past.;You don’t need a white sheet to see the past.;
;;Haven;Look at it with your own eyes, don’t be scared.;Look at it with your own eyes, don’t be scared.;
;;Haven;"I don’t want you to interact with these moments.\.
Just take a look at them ...";"I don’t want you to interact with these moments.\.
Just take a look at them ...";
;;Haven;...\. And let them float.;...\. And let them float.;
;;Haven;Go ahead, take a look.;Go ahead, take a look.;
;;Haven;"I thought I recognized that song from your cheap
earbuds.";"I thought I recognized that song from your cheap
earbuds.";
;;Haven;I loved listening to their music back then.;I loved listening to their music back then.;
;;;You don't remember.;You don't remember.;
;;;"It looks like you can pull off the shadow.\!
Take it off?";"It looks like you can pull off the shadow.\!
Take it off?";
;;;Do you want to remember?;Do you want to remember?;
;;;"You try your best to remember the memory you
tried to forget.";"You try your best to remember the memory you
tried to forget.";
;;;It was a sunny evening.;It was a sunny evening.;
;;;"I was just listening to some music on my mom's 
MP3 player.";"I was just listening to some music on my mom's 
MP3 player.";
;;;"I had discovered a new band, and I was exploring
their discography.";"I had discovered a new band, and I was exploring
their discography.";
;;;"Then, I suddenly saw someone's shoes in front
of me.";"Then, I suddenly saw someone's shoes in front
of me.";
;;Haven;What are you listening to?;What are you listening to?;
;;;I had never seen this girl before.;I had never seen this girl before.;
;;;"She looked like she was about my age, and she
smelled nostalgic.";"She looked like she was about my age, and she
smelled nostalgic.";
;;Haven;"Oh! I love that band!\!
I actually saw them live a couple of weeks ago!";"Oh! I love that band!\!
I actually saw them live a couple of weeks ago!";
;;Haven;"Hey, I wanted to ask if you'd be up to chat
via email?";"Hey, I wanted to ask if you'd be up to chat
via email?";
;;Haven;I'll give you my address!;I'll give you my address!;
;;;This girl wants to message me?;This girl wants to message me?;
;;;It's a bench.;It's a bench.;
;;Haven;"I think I might have caught some feelings when I
saw you on the bench ...";"I think I might have caught some feelings when I
saw you on the bench ...";
;;Haven;I was pretty nervous when I approached you.;I was pretty nervous when I approached you.;
;;Haven;Go on ...\! Try to remember ...;Go on ...\! Try to remember ...;
;;Haven;You're almost there...;You're almost there...;
;;Haven;Try your best to remember.;Try your best to remember.;
;;Haven;"I’m really glad you decided to agree, I was
so nervous when I was writing that email! ";"I’m really glad you decided to agree, I was
so nervous when I was writing that email! ";
;;Haven;I didn’t want to mess up or seem uncool ...;I didn’t want to mess up or seem uncool ...;
;;;The shadow layer is a bit harder to get off.;The shadow layer is a bit harder to get off.;
;;;Look at the screen?;Look at the screen?;
;;;"The following day, I checked the computer to see
if I had gotten an email from her.";"The following day, I checked the computer to see
if I had gotten an email from her.";
;;;And sure enough, she sent one.;And sure enough, she sent one.;
;;;"I opened it nervously and read what she had
to say.";"I opened it nervously and read what she had
to say.";
;;Haven;"""Hey!""";"""Hey!""";
;;Haven;"""I still haven’t gotten your name, so I don’t really
know what to call you... haha...""";"""I still haven’t gotten your name, so I don’t really
know what to call you ... haha ...""";
;;Haven;"""Anyway, it was really nice talking to you!
I didn't think anyone listened to that band!""";"""Anyway, it was really nice talking to you!
I didn't think anyone listened to that band!""";
;;Haven;"""I thought I heard it coming from your earbuds,
so that’s why I asked.""";"""I thought I heard it coming from your earbuds,
so that’s why I asked.""";
;;Haven;"""Hope you didn’t find me creepy or anything :)""";"""Hope you didn’t find me creepy or anything :)""";
;;Haven;"""I actually had something to ask you...\!
Would you maybe wanna hang out sometime??""";"""I actually had something to ask you ...\!
Would you maybe wanna hang out sometime??""";
;;Haven;"""Maybe talk about our favorite music, or get
something to eat...""";"""Maybe talk about our favorite music, or get
something to eat ...""";
;;Haven;"""Let me know!\.
Haven”";"""Let me know!\.
Haven”";
;;;It's your parents' old computer.;It's your parents' old computer.;
;;Haven;"I remember being pretty nervous while I was
waiting for you.";"I remember being pretty nervous while I was
waiting for you.";
;;Haven;"What if you didn't show up? What if you forgot
about it?";"What if you didn't show up? What if you forgot
about it?";
;;Haven;I was glad you enjoyed the snacks I brought.;I was glad you enjoyed the snacks I brought.;
;;Haven;"It was fun getting to know you a bit better, even
though there were some awkward moments!";"It was fun getting to know you a bit better, even
though there were some awkward moments!";
;;Haven;"I personally didn’t find them awkward.\!
I was enjoying the moment.";"I personally didn’t find them awkward.\!
I was enjoying the moment.";
;;;"You try your best to remember, but something is
missing ...";"You try your best to remember, but something is
missing ...";
;;;There she was, under the big tree.;There she was, under the big tree.;
;;;"She was looking through her bag, trying to find
something.";"She was looking through her bag, trying to find
something.";
;;Haven;Hey! Took you long enough!;Hey! Took you long enough!;
;;Haven;This is a good spot,\. right?;This is a good spot,\. right?;
;;Haven;Did you see the picture I sent on the phone?;Did you see the picture I sent on the phone?;
;;;"She had sent a picture under the tree where we
had arranged to meet.";"She had sent a picture under the tree where we
had arranged to meet.";
;;;She brought some snacks for us to enjoy.;She brought some snacks for us to enjoy.;
;;;"We talked about ourselves, the music we were
listening to, and had some small talk.";"We talked about ourselves, the music we were
listening to, and had some small talk.";
;;;It was nice.;It was nice.;
;;Haven;"Hey, I was thinking we could maybe do this again
sometime ...";"Hey, I was thinking we could maybe do this again
sometime ...";
;;Haven;I really enjoyed this.;I really enjoyed this.;
;;;A second date?;A second date?;
;;;"Could you even call this a date? I'm not sure if
she's into me.";"Could you even call this a date? I'm not sure if
she's into me.";
;;;It's just two juice boxes.;It's just two juice boxes.;
;;;There's a heart sketched into the tree.;There's a heart sketched into the tree.;
;;;You're reminded of the taste of apple juice.;You're reminded of the taste of apple juice.;
;;;You try to remember a melody.;You try to remember a melody.;
;;;We started dating after a month.;We started dating after a month.;
;;;On one of our dates, we got really close.;On one of our dates, we got really close.;
;;;"She got really nervous, and said 'I think I 
love you.'";"She got really nervous, and said 'I think I 
love you.'";
;;;"I felt an unexplainable joy in my body that
whole day. ";"I felt an unexplainable joy in my body that
whole day. ";
;;;"It was special, unlike anything I had ever felt
before.";"It was special, unlike anything I had ever felt
before.";
;;;"Sometimes, we would hang out at random spots
and listen to music together.";"Sometimes, we would hang out at random spots
and listen to music together.";
;;;I'd share an earbud, and we would enjoy the view.;I'd share an earbud, and we would enjoy the view.;
;;;"She had introduced me to this one artist, and I
started listening to their music all the time.";"She had introduced me to this one artist, and I
started listening to their music all the time.";
;;;"Every time I listened to them, I thought
about Haven.";"Every time I listened to them, I thought
about Haven.";
;;;How beautiful she was, how caring she could be ...;How beautiful she was, how caring she could be ...;
;;;"She was my everything.\!
I couldn't stop thinking about her.";"She was my everything.\!
I couldn't stop thinking about her.";
;;;I was so happy.;I was so happy.;
;;Haven;Hey, do you wanna try something?;Hey, do you wanna try something?;
;;;What do you mean?;What do you mean?;
;;Haven;Hold on ...;Hold on ...;
;;;What's that?;What's that?;
;;Haven;"It's a grinder.\!
It's used to grind up weed.";"It's a grinder.\!
It's used to grind up weed.";
;;Haven;"I understand if it's not your thing, but if you
wanna try it out...";"I understand if it's not your thing, but if you
wanna try it out ...";
;;Haven;It's your choice!;It's your choice!;
;;;"I knew Haven had been smoking for a little while,
but I had never seen her high.";"I knew Haven had been smoking for a little while,
but I had never seen her high.";
;;;"It felt a bit strange when she first mentioned it,
I couldn't imagine her being that kind of person.";"It felt a bit strange when she first mentioned it,
I couldn't imagine her being that kind of person.";
;;;I decided to try it out for the first time.;I decided to try it out for the first time.;
;;;It felt special.;It felt special.;
;;;"All the worries I had weren't important anymore,
and I appreciated this moment we shared.";"All the worries I had weren't important anymore,
and I appreciated this moment we shared.";
;;;"I could feel everything at once,\. and nothing
at the same time.";"I could feel everything at once,\. and nothing
at the same time.";
;;;"I was so thankful to have Haven in my life now.\!
She had become a part of me.";"I was so thankful to have Haven in my life now.\!
She had become a part of me.";
;;Haven;I do miss these moments with you.;I do miss these moments with you.;
;;Haven;They felt magical, didn’t they? ;They felt magical, didn’t they? ;
;;Haven;We were both so happy with each other ...;We were both so happy with each other ...;
;;;It's a black jacket.;It's a black jacket.;
;;Haven;"I was truly happy for a while.
You brought out something in me.";"I was truly happy for a while.
You brought out something in me.";
;;Haven;"That childlike quality, that curiosity...\.
I don't really know what it was, but it felt new.";"That childlike quality, that curiosity ...\.
I don't really know what it was, but it felt new.";
;;Haven;"I had already told all my friends about you, and
how much I enjoyed spending my time with you!";"I had already told all my friends about you, and
how much I enjoyed spending my time with you!";
;;Haven;I couldn’t wait for you to meet them!;I couldn’t wait for you to meet them!;
;;;Hang the jacket on the coat hanger?;Hang the jacket on the coat hanger?;
;;;Hanging the jacket brings back a familiar feeling.;Hanging the jacket brings back a familiar feeling.;
;;;"Haven invited me to join her at a party.\! She said
it's a nice opportunity to meet her friends.";"Haven invited me to join her at a party.\! She said
it's a nice opportunity to meet her friends.";
;;;"I picked out a nice black suit, hoping it wasn’t
too fancy for the party.";"I picked out a nice black suit, hoping it wasn’t
too fancy for the party.";
;;;"I'm not known for being the most outgoing person.\!
I've never been to a party before.";"I'm not known for being the most outgoing person.\!
I've never been to a party before.";
;;;It'll be fine, right?;It'll be fine, right?;
;;;I'll try my best.;I'll try my best.;
;;;It won't be that bad, right?;It won't be that bad, right?;
;;;"Besides, we had a couple of dates now, and
they’ve all been great.";"Besides, we had a couple of dates now, and
they’ve all been great.";
;;;I'm sure it'll be fine.;I'm sure it'll be fine.;
;;;It's a coat hanger with a jacket on it.;It's a coat hanger with a jacket on it.;
;;;It's a stool with a drink on it.;It's a stool with a drink on it.;
;;;Sit on the stool?;Sit on the stool?;
;;;You try to remember something ...;You try to remember something ...;
;;;This didn't feel right.;This didn't feel right.;
;;;"The music was so loud, I couldn't hear myself
think.";"The music was so loud, I couldn't hear myself
think.";
;;;"There were so many people I didn't know, it felt
like I was being watched.";"There were so many people I didn't know, it felt
like I was being watched.";
;;;And Haven ...;And Haven ...;
;;;"She kept talking with her friends.\!
Her world is so much bigger than mine.";"She kept talking with her friends.\!
Her world is so much bigger than mine.";
;;;...\. She didn't forget about me, \.right?;...\. She didn't forget about me, \.right?;
;;;"It's okay ...\!
She's just talking to her friends ...";"It's okay ...\!
She's just talking to her friends ...";
;;;"You can't have all her attention ...\!
It's not about you ...";"You can't have all her attention ...\!
It's not about you ...";
;;;I should go out for a smoke.;I should go out for a smoke.;
;;;Just to help me calm down.;Just to help me calm down.;
;;;"The air felt cold outside.\!
The cigarette did help me slow down.";"The air felt cold outside.\!
The cigarette did help me slow down.";
;;;But just thinking about her ...;But just thinking about her ...;
;;;...\. Why does it slightly hurt?;...\. Why does it slightly hurt?;
;;;"I shouldn't be feeling sad.\!
I still love Haven and she loves me.";"I shouldn't be feeling sad.\!
I still love Haven and she loves me.";
;;;Why do I feel like this?;Why do I feel like this?;
;;;"Nothing even happened, and yet I feel betrayed
by her.";"Nothing even happened, and yet I feel betrayed
by her.";
;;;...\. This isn't safe.;...\. This isn't safe.;
;;;I don't feel comfortable.;I don't feel comfortable.;
;;;I have to go away.;I have to go away.;
;;;This isn't good.;This isn't good.;
;;;Why am I thinking like this?;Why am I thinking like this?;
;;;Why am I running away?;Why am I running away?;
;;;"I need to calm down again.\!
I'll just sit here for a while.";"I need to calm down again.\!
I'll just sit here for a while.";
;;;"It's ...\. okay ... \!
It'll be ...\. okay ...";"It's ...\. okay ... \!
It'll be ...\. okay ...";
;;;I shouldn't be freaking out ...;I shouldn't be freaking out ...;
;;;Why does this hurt so much ...;Why does this hurt so much ...;
;;;"Just ...\. calm ..\.. down ...\!
Please ...";"Just ...\. calm ...\. down ...\!
Please ...";
;;;CALM ...\. DOWN ...;CALM ...\. DOWN ...;
;;;STOP IT ...;STOP IT ...;
;;;I CAN'T THINK ...;I CAN'T THINK ...;
;;;I CAN'T\^;I CAN'T\^;
;;;I see someone in front of me.;I see someone in front of me.;
;;;I catch my breath, and slowly look up.;I catch my breath, and slowly look up.;
;;Haven;Are you okay?;Are you okay?;
;;;I'm fine.;I'm fine.;
;;;I just needed some fresh air.;I just needed some fresh air.;
;;Haven;Are you sure?;Are you sure?;
;;Haven;"I'll be back inside.\!
You should come too.";"I'll be back inside.\!
You should come too.";
;;;I'll be there in a second.;I'll be there in a second.;
;;;She doesn't care about me.;She doesn't care about me.;
;;;She would have stayed here if she did.;She would have stayed here if she did.;
;;;I should leave.;I should leave.;
;;;I can try to break the shadow with this rock ...;I can try to break the shadow with this rock ...;
;;;Break;Break;
;;;You throw away the rock.;You throw away the rock.;
;;;The shadow is too hard to remove.;The shadow is too hard to remove.;
;;Haven;Why did you leave the party?;Why did you leave the party?;
;;Haven;I was so worried about you ...;I was so worried about you ...;
;;;I say nothing.;I say nothing.;
;;;She doesn't deserve to hear anything from me.;She doesn't deserve to hear anything from me.;
;;;I was expecting her to say she's sorry.;I was expecting her to say she's sorry.;
;;;... But she had no reason to apologize.;... But she had no reason to apologize.;
;;;It's not her fault.;It's not her fault.;
;;;Why did I act like that?;Why did I act like that?;
;;;"If I say something, she’ll probably think I’m
being dramatic.";"If I say something, she’ll probably think I’m
being dramatic.";
;;;"She’ll forget about it soon enough, and things
will go back to normal.";"She’ll forget about it soon enough, and things
will go back to normal.";
;;;Except things never went back to normal.;Except things never went back to normal.;
;;;It's a bed.;It's a bed.;
;;;"You can barely make out a lighter on the table.\.
Grab the lighter?";"You can barely make out a lighter on the table.\.
Grab the lighter?";
;;;"You think about how many times you've lit a lighter
in your life.";"You think about how many times you've lit a lighter
in your life.";
;;;How many times you'd smoke alone.;How many times you'd smoke alone.;
;;;"We stopped getting in touch with each other
after a few weeks. ";"We stopped getting in touch with each other
after a few weeks. ";
;;;"I can’t forget that last message she sent.\!
""I hope you’ll be doing okay""";"I can’t forget that last message she sent.\!
""I hope you’ll be doing okay""";
;;;"For weeks, I was wondering if she was going to
send something, but that never happened.";"For weeks, I was wondering if she was going to
send something, but that never happened.";
;;;"I didn’t respond to her.\. I was too scared.\!
She was probably mad at me.";"I didn’t respond to her.\. I was too scared.\!
She was probably mad at me.";
;;;"I'd smoke every day just so I wouldn't have to
think about her.";"I'd smoke every day just so I wouldn't have to
think about her.";
;;;"Because everytime I would, I'd get sad, confused,
and mad.";"Because everytime I would, I'd get sad, confused,
and mad.";
;;;These emotions would take control of me.;These emotions would take control of me.;
;;;"I knew what I was doing wasn't right, but it 
didn't feel fair.";"I knew what I was doing wasn't right, but it 
didn't feel fair.";
;;;It became an addiction, fueling my distraction.;It became an addiction, fueling my distraction.;
;;;I started having trouble sleeping.;I started having trouble sleeping.;
;;;"She'd appear in my dreams, and it felt like all
my progress was gone.";"She'd appear in my dreams, and it felt like all
my progress was gone.";
;;;I just wanted to stop thinking about her.;I just wanted to stop thinking about her.;
;;;What does she even mean to me?;What does she even mean to me?;
;;;"She felt safe.\!
She felt warm.";"She felt safe.\!
She felt warm.";
;;;"She was optimistic.\!
She was herself.";"She was optimistic.\!
She was herself.";
;;;Just being around her was enough for me.;Just being around her was enough for me.;
;;;"Even though this relationship probably didn’t mean
much to her.";"Even though this relationship probably didn’t mean
much to her.";
;;;What was I to her?;What was I to her?;
;;;I wouldn't know.;I wouldn't know.;
;;;"I don't understand why she even spoke to me in
the first place.";"I don't understand why she even spoke to me in
the first place.";
;;;"Maybe it didn't matter who it was, she was just
lonely.";"Maybe it didn't matter who it was, she was just
lonely.";
;;;And that loneliness cut through me.;And that loneliness cut through me.;
;;;"It left me with a scar that would never
completely heal.";"It left me with a scar that would never
completely heal.";
;;;"I wish she was someone who would always be
there for me.";"I wish she was someone who would always be
there for me.";
;;;A safe haven.;A safe haven.;
;;;There's a lighter on the table.;There's a lighter on the table.;
;;;I don't need it.;I don't need it.;
;;Haven;"Do you remember that time we climbed a
mountain?";"Do you remember that time we climbed a
mountain?";
;;Haven;"It was my idea for a date, since I loved
climbing as a child.";"It was my idea for a date, since I loved
climbing as a child.";
;;Haven;It took us the whole day, but the view was great.;It took us the whole day, but the view was great.;
;;Haven;We placed a flag on the top, to show we made it.;We placed a flag on the top, to show we made it.;
;;Haven;It was beautiful,\. wasn’t it?;It was beautiful,\. wasn’t it?;
;;Haven;I still don’t get why you couldn’t let go.;I still don’t get why you couldn’t let go.;
;;Haven;You didn’t have much in your life.;You didn’t have much in your life.;
;;Haven;I do miss you.;I do miss you.;
;;Haven;You were important to me too.;You were important to me too.;
;;Haven;"You should have sent a message.\|
I know you wanted to talk about it.";"You should have sent a message.\|
I know you wanted to talk about it.";
;;Haven;And yet, you never sent anything.;And yet, you never sent anything.;
;;Haven;"I was going to send something, but I thought you
needed space.";"I was going to send something, but I thought you
needed space.";
;;Haven;"You probably needed some time after what
happened at the party.";"You probably needed some time after what
happened at the party.";
;;Haven;You’ve been breaking yourself.;You’ve been breaking yourself.;
;;Haven;You’re unstable.;You’re unstable.;
;;;I want to move on;I want to move on;
;;;I don’t miss you ;I don’t miss you ;
;;;I do want to move on.;I do want to move on.;
;;;I truly do.;I truly do.;
;;;I've tried so hard to just get you out of my mind.;I've tried so hard to just get you out of my mind.;
;;;I can't have a day where I don't miss you.;I can't have a day where I don't miss you.;
;;;"I'd look back on old photos, songs we used to
listen to together.";"I'd look back on old photos, songs we used to
listen to together.";
;;;"And I know that we can't make any more of these
memories.";"And I know that we can't make any more of these
memories.";
;;;It just makes me so sad.;It just makes me so sad.;
;;;I miss you, Haven.;I miss you, Haven.;
;;;I don't think I was ready for a relationship.;I don't think I was ready for a relationship.;
;;;"I'm unstable.\|
That's just how I am.";"I'm unstable.\|
That's just how I am.";
;;;"I hoped that after years, I'd finally move on.\!
It just feels impossible.";"I hoped that after years, I'd finally move on.\!
It just feels impossible.";
;;;"I'm obsessed.\!
You've planted yourself into my brain.";"I'm obsessed.\!
You've planted yourself into my brain.";
;;;...\. No, I have.;...\. No, I have.;
;;;"I told myself that if I let go, it would mean
none of it mattered.";"I told myself that if I let go, it would mean
none of it mattered.";
;;;That you didn’t matter.;That you didn’t matter.;
;;;But moving on doesn’t mean forgetting.;But moving on doesn’t mean forgetting.;
;;;It means letting go.;It means letting go.;
;;;You’ll always be a part of me, Haven.;You’ll always be a part of me, Haven.;
;;;But I can’t let you be all of me.;But I can’t let you be all of me.;
;;;"My chest starts to feel lighter.\!
It's like a weight has been removed.";"My chest starts to feel lighter.\!
It's like a weight has been removed.";
;;;I don't miss you.;I don't miss you.;
;;;I just can’t keep living like this.;I just can’t keep living like this.;
;;;"Thinking about you every day,\. looking through
old messages,\. thinking about the past.";"Thinking about you every day,\. looking through
old messages,\. thinking about the past.";
;;;I keep telling myself that I just need time.;I keep telling myself that I just need time.;
;;;"But it's been years now.\!
You're still here.";"But it's been years now.\!
You're still here.";
;;;Why did you do this to me?;Why did you do this to me?;
;;;I had a terrible life before I met you.;I had a terrible life before I met you.;
;;;"And you had the audacity to give me hope, before
making it even worse.";"And you had the audacity to give me hope, before
making it even worse.";
;;;"You acted like you cared.\!
Like you understood me.";"You acted like you cared.\!
Like you understood me.";
;;;I don't think you actually did.;I don't think you actually did.;
;;;You used me.;You used me.;
;;;I hate this feeling.;I hate this feeling.;
;;;"This emptiness inside of me.\!
I can feel it as if its actually there.";"This emptiness inside of me.\!
I can feel it as if its actually there.";
;;;"I just want to feel something else than this.\.
Anything else.";"I just want to feel something else than this.\.
Anything else.";
;;;You ruined me, Haven.;You ruined me, Haven.;
;;;You left a scar on me that never heals.;You left a scar on me that never heals.;
;;;Maybe I should have never met you.;Maybe I should have never met you.;
;;;"I wouldn't have all these memories with you, but
maybe that's for the best.";"I wouldn't have all these memories with you, but
maybe that's for the best.";
;;Haven;Why do you put yourself through this?;Why do you put yourself through this?;
;;Haven;"I did love you.\!
I cared so much about you.";"I did love you.\!
I cared so much about you.";
;;Haven;How can you break our trust like that?;How can you break our trust like that?;
;;Haven;I didn’t want to leave you like this.;I didn’t want to leave you like this.;
;;Haven;"But you’re hurting yourself more than I actually
did.";"But you’re hurting yourself more than I actually
did.";
;;Haven;Don’t you think it’s time to stop blaming me?;Don’t you think it’s time to stop blaming me?;
;;Haven;Or maybe,\. it’s time you stop blaming yourself, too.;Or maybe,\. it’s time you stop blaming yourself, too.;
;;;I don't miss you;I don't miss you;
;;;I feel the ground begin to shake.;I feel the ground begin to shake.;
;;;"It’s subtle, but something deep beneath me is
moving.";"It’s subtle, but something deep beneath me is
moving.";
;;;My legs feel weak.;My legs feel weak.;
;;;"The ground is shattering.\!
I feel it all breaking.";"The ground is shattering.\!
I feel it all breaking.";
;;;...\. It feels right.;...\. It feels right.;
;;;She’s still looking at me.;She’s still looking at me.;
;;;Like she knows what's about to happen.;Like she knows what's about to happen.;
;;;Like she’s already said goodbye.;Like she’s already said goodbye.;
;;;Is this what I deserve?;Is this what I deserve?;
;;;Everything around me is breaking.;Everything around me is breaking.;
;;;Is it my fault?;Is it my fault?;
;;;Was I ever supposed to be held responsible?;Was I ever supposed to be held responsible?;
;;Haven;You should leave.;You should leave.;
;;;Haven would take a lot of pictures.;Haven would take a lot of pictures.;
;;;"Usually I didn't like being photographed, but
I tried my best for her.";"Usually I didn't like being photographed, but
I tried my best for her.";
;;;"These pictures are something I could never forget
about.";"These pictures are something I could never forget
about.";
;;;It reminds me of what Haven and I used to have.;It reminds me of what Haven and I used to have.;
;;;"Even though we'll probably never see each other
again, I can't lose these memories.";"Even though we'll probably never see each other
again, I can't lose these memories.";
;;;I had studied every day leading up to the test.;I had studied every day leading up to the test.;
;;;And I couldn't remember any of it.;And I couldn't remember any of it.;
;;;"The pages were filled with unreadable gibberish.\.
I tried rubbing them out, but they stayed.";"The pages were filled with unreadable gibberish.\.
I tried rubbing them out, but they stayed.";
;;;They wouldn't leave me alone.;They wouldn't leave me alone.;
;;;"I spent the whole hour silently paralyzed.
Unable to move.";"I spent the whole hour silently paralyzed.
Unable to move.";
;;;I had a hard time remembering anything.;I had a hard time remembering anything.;
;;;It didn't feel fair.;It didn't feel fair.;
;;;You remember.;You remember.;
